name,height,weight,avg,HR,hand,bmi
John Butcher,76,185,0,0,Right Handed,22.5
Jerry Ujdur,73,195,0,0,Right Handed,25.7
Scot Thompson,75,195,0.262,5,Left Handed,24.4
Gene Locklear,70,165,0.274,9,Left Handed,23.7
Bo Diaz,71,185,0.255,87,Right Handed,25.8
Bump Wills,69,172,0.266,36,Switch Hitter,25.4
Brian Denman,76,205,0,0,Right Handed,25
Pat Putnam,72,205,0.255,63,Left Handed,27.8
Kurt Bevacqua,72,180,0.236,27,Right Handed,24.4
Bob Fallon,75,200,0,0,Left Handed,25
Syd O'Brien,73,185,0.23,24,Right Handed,24.4
Chris Chambliss,73,195,0.279,185,Left Handed,25.7
Tom Satriano,73,185,0.225,21,Left Handed,24.4
Jeffrey Leonard,74,200,0.266,144,Right Handed,25.7
Dal Maxvill,71,157,0.217,6,Right Handed,21.9
Steve Curry,78,217,0,0,Right Handed,25.1
Cesar Tovar,69,155,0.278,46,Right Handed,22.9
Mickey Lolich,73,170,0.11,0,Switch Hitter,22.4
Ray Chadwick,74,180,0,0,Switch Hitter,23.1
Jack Heidemann,72,175,0.211,9,Right Handed,23.7
Rich Rollins,70,185,0.269,77,Right Handed,26.5
Walt Bond,79,228,0.256,41,Left Handed,25.7
Merv Rettenmund,70,190,0.271,66,Right Handed,27.3
Bryan Clutterbuck,76,223,0,0,Right Handed,27.1
Byron Browne,74,190,0.236,30,Right Handed,24.4
Hector Torres,72,175,0.216,18,Right Handed,23.7
Walt Williams,66,165,0.27,33,Right Handed,26.6
Jerry Koosman,74,205,0.119,2,Right Handed,26.3
Steve Lombardozzi,72,175,0.233,20,Right Handed,23.7
Joe Azcue,72,190,0.252,50,Right Handed,25.8
Elliott Maddox,71,180,0.261,18,Right Handed,25.1
Omar Moreno,74,180,0.252,37,Left Handed,23.1
Julian Javier,73,175,0.257,78,Right Handed,23.1
Tony Ferreira,73,160,0,0,Left Handed,21.1
Elio Chacon,69,160,0.232,4,Right Handed,23.6
Rusty Torres,70,175,0.212,35,Switch Hitter,25.1
John Stearns,72,185,0.26,46,Right Handed,25.1
Larry Brown,70,160,0.233,47,Right Handed,23
Tommy Dean,72,165,0.18,4,Right Handed,22.4
Bryan Oelkers,75,192,0,0,Left Handed,24
Kevin Bearse,74,195,0,0,Left Handed,25
Marty Martinez,72,170,0.243,0,Switch Hitter,23.1
Bruce Boisclair,74,185,0.263,10,Left Handed,23.8
Ken Singleton,76,210,0.282,246,Switch Hitter,25.6
Frank White,71,165,0.255,160,Right Handed,23
Jim Fairey,70,190,0.235,7,Left Handed,27.3
Jose Roman,72,175,0,0,Right Handed,23.7
Tom Brookens,70,165,0.246,71,Right Handed,23.7
Gary Thomasson,73,180,0.249,61,Left Handed,23.7
Mike Trujillo,73,180,0,0,Right Handed,23.7
Albert Williams,76,190,0,0,Right Handed,23.1
Oswaldo Peraza,76,172,0,0,Right Handed,20.9
Otto Velez,72,170,0.251,78,Right Handed,23.1
Tony Scott,72,164,0.249,17,Switch Hitter,22.2
Ray Oyler,71,165,0.175,15,Right Handed,23
Barry Cort,77,210,0,0,Right Handed,24.9
Floyd Robinson,69,175,0.283,67,Left Handed,25.8
Steve Jeltz,71,180,0.21,5,Switch Hitter,25.1
Lou Brock,71,170,0.293,149,Left Handed,23.7
Bill Wilkinson,70,160,0,0,Right Handed,23
Joe Lovitto,72,185,0.216,4,Switch Hitter,25.1
Mike Loynd,76,210,0,0,Right Handed,25.6
Wayne Comer,70,175,0.229,16,Right Handed,25.1
Dave Collins,71,175,0.272,32,Switch Hitter,24.4
Ed Spiezio,71,180,0.238,39,Right Handed,25.1
Rico Petrocelli,72,175,0.251,210,Right Handed,23.7
Johnny Lewis,73,189,0.227,22,Left Handed,24.9
Dick Simpson,76,176,0.207,15,Right Handed,21.4
Ken Boswell,72,170,0.248,31,Left Handed,23.1
Ken McMullen,75,190,0.248,156,Right Handed,23.7
Randy Scarbery,73,185,0,0,Switch Hitter,24.4
Steve Swisher,74,205,0.216,20,Right Handed,26.3
Ben Callahan,79,230,0,0,Right Handed,25.9
Dick Howser,68,155,0.248,16,Right Handed,23.6
Manny Castillo,69,160,0.242,3,Switch Hitter,23.6
Mike Ramsey,73,170,0.24,2,Switch Hitter,22.4
Willie Crawford,73,197,0.268,86,Left Handed,26
Bobby Cuellar,71,188,0,0,Right Handed,26.2
Willie Norwood,72,185,0.242,18,Right Handed,25.1
Mike Jones,78,215,0,0,Left Handed,24.8
Jeff Stone,72,175,0.277,11,Left Handed,23.7
Ramon Manon,72,150,0,0,Right Handed,20.3
Joe Lahoud,73,198,0.223,65,Left Handed,26.1
Tim Flannery,71,175,0.255,9,Left Handed,24.4
Dave McKay,73,195,0.229,21,Switch Hitter,25.7
John Trautwein,75,205,0,0,Right Handed,25.6
Andy Replogle,77,205,0,0,Right Handed,24.3
Zach Crouch,75,180,0,0,Left Handed,22.5
Benny Ayala,73,185,0.251,38,Right Handed,24.4
Ron Romanick,76,195,0,0,Right Handed,23.7
Greg Gross,70,160,0.287,7,Left Handed,23
Bruce Tanner,75,220,0,0,Left Handed,27.5
Sal Butera,72,190,0.227,8,Right Handed,25.8
Jack Brohamer,70,165,0.245,30,Left Handed,23.7
Von Joshua,70,170,0.273,30,Left Handed,24.4
Eddie Milner,71,173,0.253,42,Left Handed,24.1
Johnny Jeter,73,180,0.244,18,Right Handed,23.7
Angel Salazar,72,180,0.212,2,Right Handed,24.4
Tony Oliva,73,175,0.304,220,Left Handed,23.1
Cito Gaston,75,190,0.256,91,Right Handed,23.7
Cookie Rojas,70,160,0.263,54,Right Handed,23
Rich Morales,71,170,0.195,6,Right Handed,23.7
Dave Ford,76,190,0,0,Right Handed,23.1
Dan Ford,73,185,0.27,121,Right Handed,24.4
Barry Raziano,70,175,0,0,Switch Hitter,25.1
Darryl Motley,69,196,0.243,44,Right Handed,28.9
Ozzie Virgil,73,180,0.243,98,Right Handed,23.7
Johnny Oates,71,188,0.25,14,Left Handed,26.2
Pat Underwood,72,175,0,0,Left Handed,23.7
Mike Phillips,72,170,0.24,11,Left Handed,23.1
Ron Santo,72,190,0.277,342,Right Handed,25.8
Jay Johnstone,73,175,0.267,102,Left Handed,23.1
Jim Ray Hart,71,185,0.278,170,Right Handed,25.8
Marc Hill,75,205,0.223,34,Right Handed,25.6
Joel McKeon,72,185,0,0,Left Handed,25.1
Danny Fife,75,175,0,0,Right Handed,21.9
Chico Salmon,70,160,0.249,31,Right Handed,23
Joe Niekro,73,185,0.156,1,Right Handed,24.4
Andy Etchebarren,73,190,0.235,49,Right Handed,25.1
Ken Berry,72,175,0.255,58,Right Handed,23.7
Dave Concepcion,74,155,0.267,101,Right Handed,19.9
Junior Moore,71,185,0.264,7,Right Handed,25.8
Mike Richardt,72,170,0.226,4,Right Handed,23.1
Chris Brown,72,185,0.269,38,Right Handed,25.1
Al Bumbry,68,170,0.281,54,Left Handed,25.8
Al Downing,71,175,0.127,2,Right Handed,24.4
Bob Didier,72,190,0.229,0,Switch Hitter,25.8
Jake Gibbs,72,180,0.233,25,Left Handed,24.4
Garry Hancock,72,175,0.247,12,Left Handed,23.7
Ed Kranepool,75,205,0.261,118,Left Handed,25.6
Rick Rhoden,75,195,0.238,9,Right Handed,24.4
Denny McLain,73,185,0.133,1,Right Handed,24.4
Chuck Hiller,71,170,0.243,20,Left Handed,23.7
Jorge Orta,70,170,0.278,130,Left Handed,24.4
Dave Cash,71,170,0.283,21,Right Handed,23.7
Bucky Dent,69,170,0.247,40,Right Handed,25.1
Andy Beene,75,205,0,0,Right Handed,25.6
Bruce Robbins,73,190,0,0,Left Handed,25.1
Tony Gonzalez,69,170,0.286,103,Left Handed,25.1
Leon Hooten,71,180,0,0,Right Handed,25.1
Larry Haney,74,195,0.215,12,Right Handed,25
Billy Conigliaro,72,180,0.256,40,Right Handed,24.4
Gary Roenicke,75,205,0.247,121,Right Handed,25.6
Don Lock,74,195,0.238,122,Right Handed,25
Billy Cowan,72,170,0.236,40,Right Handed,23.1
Billy Smith,74,185,0.23,17,Switch Hitter,23.8
Allan Ramirez,70,180,0,0,Right Handed,25.8
Tony Perez,74,175,0.279,379,Right Handed,22.5
Chuck Schilling,70,160,0.239,23,Right Handed,23
Hal McRae,71,180,0.29,191,Right Handed,25.1
Dave Roberts,75,215,0.239,49,Right Handed,26.9
Brian Allard,73,175,0,0,Right Handed,23.1
Jim Lefebvre,72,180,0.251,74,Switch Hitter,24.4
Fernando Arroyo,74,180,0,0,Right Handed,23.1
Gary Beare,76,205,0,0,Right Handed,25
Charlie Spikes,75,215,0.246,65,Right Handed,26.9
Brian Dubois,70,165,0,0,Left Handed,23.7
Steve Whitaker,72,180,0.23,24,Left Handed,24.4
Manny Jimenez,73,185,0.272,26,Left Handed,24.4
Chris Batton,76,195,0,0,Right Handed,23.7
Duffy Dyer,72,187,0.221,30,Right Handed,25.4
Ken Henderson,74,180,0.257,122,Switch Hitter,23.1
Vance Lovelace,77,205,0,0,Left Handed,24.3
Greg Thayer,71,182,0,0,Right Handed,25.4
Vern Fuller,73,170,0.232,14,Right Handed,22.4
Paul Hartzell,77,200,0,0,Right Handed,23.7
Wayne Gross,74,210,0.233,121,Left Handed,27
Mike Champion,72,185,0.229,2,Right Handed,25.1
Ralph Botting,72,195,0,0,Left Handed,26.4
Paul Casanova,76,180,0.225,50,Right Handed,21.9
Steve Rogers,74,175,0.138,0,Right Handed,22.5
Keith Creel,74,180,0,0,Right Handed,23.1
Terry Crowley,72,180,0.25,42,Left Handed,24.4
Horace Clarke,69,170,0.256,27,Switch Hitter,25.1
Lou Clinton,73,185,0.247,65,Right Handed,24.4
Larry Cox,70,178,0.221,12,Right Handed,25.5
Nate Colbert,74,190,0.243,173,Right Handed,24.4
Phil Roof,74,190,0.215,43,Right Handed,24.4
Chuck Hinton,73,180,0.264,113,Right Handed,23.7
Tim Cullen,73,185,0.22,9,Right Handed,24.4
Tim Harkness,74,182,0.235,14,Left Handed,23.4
Rick Bosetti,71,185,0.25,17,Right Handed,25.8
Ron Pruitt,72,185,0.269,12,Right Handed,25.1
George Foster,73,180,0.274,348,Right Handed,23.7
Jerry White,70,164,0.253,21,Switch Hitter,23.5
Angel Mangual,70,178,0.245,22,Right Handed,25.5
Ken Gerhart,72,190,0.221,24,Right Handed,25.8
Mike Hershberger,70,175,0.252,26,Right Handed,25.1
Jim French,68,180,0.196,5,Left Handed,27.4
Dave Roberts,75,195,0.194,7,Left Handed,24.4
Jim Mason,74,185,0.203,12,Left Handed,23.8
Mike Smith,75,180,0,0,Right Handed,22.5
Willie Smith,72,182,0.248,46,Left Handed,24.7
T.R. Bryden,76,190,0,0,Right Handed,23.1
Jose Arcia,75,170,0.215,1,Right Handed,21.2
Leon Durham,73,185,0.277,147,Left Handed,24.4
Tom Makowski,71,185,0,0,Right Handed,25.8
Paul Householder,72,180,0.236,29,Switch Hitter,24.4
Aurelio Rodriguez,70,180,0.237,124,Right Handed,25.8
Jimmy Stewart,72,165,0.237,8,Switch Hitter,22.4
Dick Phillips,72,180,0.229,12,Left Handed,24.4
Andres Thomas,73,170,0.234,42,Right Handed,22.4
Ed Crosby,74,175,0.22,0,Left Handed,22.5
Mike de la Hoz,71,175,0.251,25,Right Handed,24.4
Frank Taveras,72,155,0.255,2,Right Handed,21
Joe Nossek,72,178,0.228,3,Right Handed,24.1
Larry Stahl,72,175,0.232,36,Left Handed,23.7
Jose Cruz,72,170,0.284,165,Left Handed,23.1
Don Mason,71,160,0.205,3,Left Handed,22.3
Bill Robinson,74,189,0.258,166,Right Handed,24.3
Jim Umbarger,78,200,0,0,Left Handed,23.1
Sal Bando,72,195,0.254,242,Right Handed,26.4
George Mitterwald,74,195,0.236,76,Right Handed,25
Mike Darr,76,190,0,0,Right Handed,23.1
Craig Robinson,70,165,0.219,0,Right Handed,23.7
Bob Tillman,76,205,0.232,79,Right Handed,25
Curt Wardle,77,220,0,0,Left Handed,26.1
Pat Corrales,72,180,0.216,4,Right Handed,24.4
Mike Tyson,69,170,0.241,27,Right Handed,25.1
Rafael Landestoy,70,165,0.237,4,Switch Hitter,23.7
Duane Josephson,72,190,0.258,23,Right Handed,25.8
Duane Walker,72,185,0.229,24,Left Handed,25.1
Glenn Hubbard,69,150,0.244,70,Right Handed,22.1
Roger Freed,72,190,0.245,22,Right Handed,25.8
George Hendrick,75,195,0.278,267,Right Handed,24.4
Rod Carew,72,170,0.328,92,Left Handed,23.1
Bob Davis,72,180,0.197,6,Right Handed,24.4
Toby Harrah,72,175,0.264,195,Right Handed,23.7
Rick Manning,73,180,0.257,56,Left Handed,23.7
Israel Sanchez,69,170,0,0,Left Handed,25.1
Steve Burke,74,200,0,0,Switch Hitter,25.7
Gary Matthews,74,185,0.281,234,Right Handed,23.8
Cesar Geronimo,72,165,0.258,51,Left Handed,22.4
Billy Bryan,76,200,0.216,41,Left Handed,24.3
Terry Taylor,73,180,0,0,Right Handed,23.7
Terry Whitfield,73,197,0.281,33,Left Handed,26
Mario Mendoza,71,170,0.215,4,Right Handed,23.7
Fred Lynn,73,185,0.283,306,Left Handed,24.4
Larry Hisle,74,193,0.273,166,Right Handed,24.8
Graig Nettles,72,180,0.248,390,Left Handed,24.4
Randy Nosek,76,215,0,0,Right Handed,26.2
Dave Engle,75,210,0.262,31,Right Handed,26.2
Narciso Elvira,70,160,0,0,Left Handed,23
Mike Easler,72,190,0.293,118,Left Handed,25.8
Mark Smith,74,215,0,0,Right Handed,27.6
Paul Mitchell,73,195,0,0,Right Handed,25.7
Rick Sweet,73,200,0.234,6,Switch Hitter,26.4
Thurman Munson,71,190,0.292,113,Right Handed,26.5
Rick Monday,75,193,0.264,241,Left Handed,24.1
Mike Sadek,69,165,0.226,5,Right Handed,24.4
Mark Belanger,73,170,0.228,20,Right Handed,22.4
Ron Hunt,72,186,0.273,39,Right Handed,25.2
Joe Keough,72,185,0.246,9,Left Handed,25.1
Butch Edge,75,203,0,0,Right Handed,25.4
Vic Correll,70,185,0.229,29,Right Handed,26.5
Jackie Hernandez,71,165,0.208,12,Right Handed,23
Tony Solaita,72,210,0.255,50,Left Handed,28.5
U L Washington,71,175,0.251,27,Switch Hitter,24.4
Gary Mielke,75,185,0,0,Right Handed,23.1
Rick Henninger,78,225,0,0,Right Handed,26
Joe Foy,72,215,0.248,58,Right Handed,29.2
Ed Goodson,75,180,0.26,30,Left Handed,22.5
Mark Brown,74,190,0,0,Switch Hitter,24.4
Mickey Klutts,71,170,0.241,14,Right Handed,23.7
Leroy Stanton,73,195,0.244,77,Right Handed,25.7
Rafael Vasquez,72,160,0,0,Right Handed,21.7
Len Whitehouse,71,175,0,0,Left Handed,24.4
Danny Ainge,76,175,0.22,2,Right Handed,21.3
Adolfo Phillips,73,175,0.247,59,Right Handed,23.1
Marv Breeding,72,175,0.25,7,Right Handed,23.7
Steve Adkins,78,210,0,0,Right Handed,24.3
Dick McAuliffe,71,176,0.247,197,Left Handed,24.5
Joe Horlen,72,170,0.134,0,Right Handed,23.1
Glenn Burke,72,195,0.237,2,Right Handed,26.4
Tony Mack,70,177,0,0,Right Handed,25.4
Terry Humphrey,75,185,0.211,6,Right Handed,23.1
Bill Moran,76,210,0,0,Right Handed,25.6
Enzo Hernandez,68,155,0.224,2,Right Handed,23.6
Cesar Gutierrez,69,155,0.235,0,Right Handed,22.9
Coco Laboy,70,165,0.233,28,Right Handed,23.7
Ted Kubiak,72,175,0.231,13,Switch Hitter,23.7
Jim Morrison,71,175,0.26,112,Right Handed,24.4
Tom Gilles,73,185,0,0,Right Handed,24.4
Bobby Knoop,73,170,0.236,56,Right Handed,22.4
Bobby Brown,74,190,0.245,26,Switch Hitter,24.4
Tom Hutton,71,180,0.248,22,Left Handed,25.1
Ron Hodges,73,185,0.24,19,Left Handed,24.4
Rich Chiles,71,170,0.254,6,Left Handed,23.7
Tom Paciorek,76,215,0.282,86,Right Handed,26.2
Gary Woods,74,185,0.243,13,Right Handed,23.8
Bob Montgomery,73,195,0.258,23,Right Handed,25.7
Jeff Burroughs,73,200,0.261,240,Right Handed,26.4
Rusty Staub,74,190,0.279,292,Left Handed,24.4
Jim Norris,70,175,0.264,7,Left Handed,25.1
Oscar Gamble,71,160,0.265,200,Left Handed,22.3
Bob Kammeyer,76,210,0,0,Right Handed,25.6
George Vukovich,72,198,0.268,27,Left Handed,26.9
Joe Pactwa,71,185,0,0,Left Handed,25.8
Craig Reynolds,73,175,0.256,42,Left Handed,23.1
Paul Blair,72,168,0.25,134,Right Handed,22.8
Al Cowens,73,197,0.27,108,Right Handed,26
Al Oliver,72,195,0.303,219,Left Handed,26.4
Dave Hilton,71,191,0.213,6,Right Handed,26.6
Luis Alvarado,69,162,0.214,5,Right Handed,23.9
Larry Parrish,75,190,0.263,256,Right Handed,23.7
Woodie Fryman,75,197,0.138,2,Right Handed,24.6
Bob Randall,74,175,0.257,1,Right Handed,22.5
Jim Pankovits,70,170,0.25,9,Right Handed,24.4
Sherman Corbett,76,205,0,0,Left Handed,25
Carmen Fanzone,72,200,0.224,20,Right Handed,27.1
Gary Allenson,71,185,0.221,19,Right Handed,25.8
Milt May,72,190,0.263,77,Left Handed,25.8
Mike Vail,73,180,0.279,34,Right Handed,23.7
Nick Esasky,75,200,0.25,122,Right Handed,25
Jim Nettles,72,186,0.22,16,Left Handed,25.2
Lafayette Currence,71,175,0,0,Switch Hitter,24.4
Chris Cannizzaro,72,190,0.235,18,Right Handed,25.8
Larry Biittner,74,205,0.273,29,Left Handed,26.3
John Pawlowski,74,175,0,0,Right Handed,22.5
Mel Stottlemyre,73,178,0.16,7,Right Handed,23.5
Jack Hardy,74,175,0,0,Right Handed,22.5
Ron Musselman,74,185,0,0,Right Handed,23.8
Roy Smalley,73,185,0.257,163,Switch Hitter,24.4
Tony Chevez,71,177,0,0,Right Handed,24.7
Andy Messersmith,73,200,0.17,5,Right Handed,26.4
Richie Zisk,73,200,0.287,207,Right Handed,26.4
Dave Chalk,70,175,0.252,15,Right Handed,25.1
Don Baylor,73,190,0.26,338,Right Handed,25.1
John Vukovich,73,187,0.161,6,Right Handed,24.7
Danny Thompson,72,183,0.248,15,Right Handed,24.8
Joe Simpson,75,175,0.242,9,Left Handed,21.9
Bill Fahey,72,200,0.241,7,Left Handed,27.1
Doug Camilli,71,195,0.199,18,Right Handed,27.2
Bernie Allen,72,175,0.239,73,Left Handed,23.7
Bruce Bochy,75,205,0.239,26,Right Handed,25.6
Gary Ignasiak,71,185,0,0,Right Handed,25.8
Claudell Washington,72,190,0.278,164,Left Handed,25.8
John Donaldson,71,160,0.238,4,Left Handed,22.3
Mike Smithson,80,215,0,0,Left Handed,23.6
John Mayberry,75,215,0.253,255,Left Handed,26.9
Ken Reitz,72,180,0.26,68,Right Handed,24.4
Amos Otis,71,165,0.277,193,Right Handed,23
Gene Alley,70,160,0.254,55,Right Handed,23
Ted Sizemore,70,165,0.262,23,Right Handed,23.7
Dan Briggs,72,180,0.195,12,Left Handed,24.4
Joe Skalski,75,190,0,0,Right Handed,23.7
Doug Flynn,71,165,0.238,7,Right Handed,23
Bert Bradley,73,190,0,0,Switch Hitter,25.1
Ken Holtzman,74,175,0.163,2,Right Handed,22.5
Pete Ward,73,185,0.254,98,Left Handed,24.4
Kevin Bell,72,195,0.222,13,Right Handed,26.4
Tom Nieto,73,193,0.205,5,Right Handed,25.5
Duke Sims,74,197,0.239,100,Left Handed,25.3
Larvell Blanks,68,167,0.253,20,Right Handed,25.4
Francisco Barrios,71,155,0,0,Right Handed,21.6
Mike Davis,74,175,0.259,91,Left Handed,22.5
Jerry Reuss,77,200,0.167,1,Left Handed,23.7
Steve Yeager,72,190,0.228,102,Right Handed,25.8
Danny Goodwin,73,195,0.236,13,Left Handed,25.7
Bud Harrelson,71,160,0.236,7,Switch Hitter,22.3
Bob Knepper,75,195,0.137,6,Left Handed,24.4
Mickey Rivers,70,165,0.295,61,Left Handed,23.7
Jim Northrup,75,190,0.267,153,Left Handed,23.7
John Hale,74,195,0.201,14,Left Handed,25
Reggie Ritter,74,195,0,0,Left Handed,25
Pedro Garcia,70,175,0.22,37,Right Handed,25.1
Carl Yastrzemski,71,175,0.285,452,Left Handed,24.4
Bob Babcock,77,210,0,0,Right Handed,24.9
Craig Eaton,71,175,0,0,Right Handed,24.4
Derrel Thomas,72,160,0.249,43,Switch Hitter,21.7
Art Howe,74,190,0.26,43,Right Handed,24.4
Ike Brown,72,190,0.256,20,Right Handed,25.8
Howie Goss,76,204,0.216,11,Right Handed,24.8
Glenn Borgmann,76,210,0.229,16,Right Handed,25.6
Lamar Johnson,74,215,0.287,64,Right Handed,27.6
Julio Gonzalez,71,162,0.235,4,Right Handed,22.6
Bobby Klaus,70,170,0.208,6,Right Handed,24.4
Manny Sanguillen,72,193,0.296,65,Right Handed,26.2
Gates Brown,71,220,0.257,84,Left Handed,30.7
Johnny Ray,71,170,0.29,53,Switch Hitter,23.7
Jesus Alou,74,190,0.28,32,Right Handed,24.4
Ken Landreaux,70,165,0.268,91,Left Handed,23.7
Enos Cabell,76,170,0.277,60,Right Handed,20.7
Roy Branch,72,175,0,0,Right Handed,23.7
Billy North,71,185,0.261,20,Switch Hitter,25.8
Juan Beniquez,71,150,0.274,79,Right Handed,20.9
Frank Fernandez,72,185,0.199,39,Right Handed,25.1
Bombo Rivera,70,187,0.265,10,Right Handed,26.8
Steve Brye,72,190,0.258,30,Right Handed,25.8
Ron Jackson,72,200,0.259,56,Right Handed,27.1
Roger Metzger,72,165,0.231,5,Switch Hitter,22.4
Rufino Linares,72,170,0.27,11,Right Handed,23.1
Ray Webster,72,185,0.244,17,Left Handed,25.1
Bob Kearney,72,190,0.233,27,Right Handed,25.8
Fergie Jenkins,77,205,0.165,13,Right Handed,24.3
Dick Dietz,73,195,0.261,66,Right Handed,25.7
Ted Cox,75,195,0.245,10,Right Handed,24.4
Bobby Mitchell,70,170,0.243,3,Left Handed,24.4
Bobby Mitchell,75,185,0.235,21,Right Handed,23.1
Barry Evans,73,180,0.251,2,Right Handed,23.7
Mickey Brantley,70,180,0.259,32,Right Handed,25.8
Al Gallagher,72,180,0.263,11,Right Handed,24.4
Rob Woodward,75,185,0,0,Right Handed,23.1
Hector Cruz,71,170,0.225,39,Right Handed,23.7
Fred Norman,68,155,0.125,0,Switch Hitter,23.6
Woody Woodward,74,180,0.236,1,Right Handed,23.1
Ted Martinez,72,165,0.24,7,Right Handed,22.4
Jim Anderson,72,170,0.218,13,Right Handed,23.1
Lenn Sakata,69,160,0.23,25,Right Handed,23.6
Dave Duncan,74,190,0.214,109,Right Handed,24.4
Randy Jones,72,178,0.132,0,Right Handed,24.1
Dick Billings,73,195,0.227,16,Right Handed,25.7
Bob Veselic,72,175,0,0,Right Handed,23.7
Bruce Bochte,75,195,0.282,100,Left Handed,24.4
Bernie Carbo,71,173,0.264,96,Left Handed,24.1
Vic Davalillo,67,150,0.279,36,Left Handed,23.5
Burt Hooton,73,210,0.123,4,Right Handed,27.7
Chuck Hockenbery,73,195,0,0,Switch Hitter,25.7
Bob Ferris,78,225,0,0,Right Handed,26
Fernando Gonzalez,70,165,0.235,17,Right Handed,23.7
Jim Sundberg,72,190,0.248,95,Right Handed,25.8
Andy Kosco,75,205,0.236,73,Right Handed,25.6
Steve Huntz,73,204,0.206,16,Switch Hitter,26.9
Gary Wheelock,75,205,0,0,Right Handed,25.6
Lenny Faedo,72,170,0.251,5,Right Handed,23.1
John Lowenstein,72,175,0.253,116,Left Handed,23.7
Don Kessinger,73,170,0.252,14,Switch Hitter,22.4
Joe Hague,72,195,0.239,40,Left Handed,26.4
Bake McBride,74,190,0.299,63,Left Handed,24.4
Dick Davis,75,190,0.265,27,Right Handed,23.7
Richie Scheinblum,73,180,0.263,13,Switch Hitter,23.7
Ed Herrmann,73,195,0.24,80,Left Handed,25.7
Mike Rochford,76,205,0,0,Left Handed,25
Jeff Schneider,75,195,0,0,Switch Hitter,24.4
Bob Molinaro,72,190,0.264,14,Left Handed,25.8
Mike Hegan,73,188,0.242,53,Left Handed,24.8
Mike Diaz,74,195,0.247,31,Right Handed,25
Tim Foli,72,179,0.251,25,Right Handed,24.3
Alan Knicely,72,190,0.213,12,Right Handed,25.8
Tim Laudner,75,212,0.225,77,Right Handed,26.5
Jose Morales,71,187,0.287,26,Right Handed,26.1
Luis Encarnacion,70,178,0,0,Right Handed,25.5
Rick Kreuger,74,185,0,0,Right Handed,23.8
Juan Marichal,72,185,0.165,4,Right Handed,25.1
Vida Blue,72,189,0.104,4,Switch Hitter,25.6
Angel Moreno,69,165,0,0,Left Handed,24.4
